Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
1,1.64856,0.61,6,0.69,0.62
2,0.10152,9.85,6,0.76,0.67
3,0.08957,11.16,6,0.72,0.57
4,0.09493,10.53,6,0.67,0.47
5,0.09654,10.36,6,0.58,0.47
6,0.09487,10.54,6,0.69,0.59
7,0.09291,10.76,8,0.72,0.55
8,0.08871,11.27,7,0.77,0.65
9,0.09123,10.96,7,0.72,0.56
10,0.08996,11.12,8,0.76,0.58
11,0.08993,11.12,9,0.68,0.5
12,0.09177,10.9,7,0.64,0.49
13,0.09038,11.06,8,0.75,0.53
14,0.08756,11.42,8,0.8,0.54
15,0.09166,10.91,8,0.78,0.65
16,0.08787,11.38,9,0.73,0.62
17,0.09061,11.04,9,0.78,0.63
18,0.0898,11.14,9,0.78,0.64
19,0.0901,11.1,9,0.79,0.61
20,0.08997,11.11,8,0.79,0.56
21,0.08971,11.15,9,0.79,0.49
22,0.09293,10.76,8,0.83,0.6
23,0.09352,10.69,9,0.81,0.61
24,0.09041,11.06,9,0.79,0.61
25,0.09237,10.83,9,0.77,0.61
26,0.0878,11.39,9,0.8,0.59
27,0.08919,11.21,10,0.8,0.59
28,0.08738,11.44,10,0.82,0.6
29,0.09068,11.03,8,0.77,0.55
30,0.08912,11.22,7,0.76,0.52
31,0.087,11.49,8,0.6,0.44
32,0.08902,11.23,8,0.51,0.41
33,0.09071,11.02,11,0.78,0.58
34,0.0906,11.04,10,0.76,0.59
35,0.08755,11.42,11,0.8,0.59
36,0.09212,10.86,11,0.8,0.5
37,0.08946,11.18,10,0.78,0.55
38,0.08846,11.3,10,0.69,0.51
39,0.09113,10.97,6,0.5,0.39
40,0.09099,10.99,11,0.7,0.56
41,0.08953,11.17,11,0.8,0.61
42,0.08808,11.35,11,0.81,0.61
43,0.08799,11.36,12,0.79,0.58
44,0.08833,11.32,11,0.79,0.56
45,0.0905,11.05,11,0.8,0.59
46,0.08956,11.17,4,0.48,0.43
47,0.08801,11.36,11,0.71,0.52
48,0.08958,11.16,11,0.76,0.57
49,0.09197,10.87,13,0.78,0.51
50,0.08875,11.27,12,0.8,0.54
51,0.09293,10.76,12,0.78,0.57
52,0.0907,11.03,12,0.79,0.55
53,0.09038,11.06,11,0.72,0.52
54,0.08754,11.42,10,0.72,0.52
55,0.09574,10.45,9,0.77,0.59
56,0.08802,11.36,10,0.7,0.47
57,0.09071,11.02,11,0.78,0.58
58,0.09026,11.08,9,0.76,0.52
59,0.0879,11.38,10,0.64,0.46
60,0.0879,11.38,9,0.63,0.47
61,0.09008,11.1,11,0.78,0.58
62,0.08795,11.37,10,0.63,0.42
63,0.09197,10.87,10,0.67,0.53
64,0.09353,10.69,10,0.74,0.57
65,0.08908,11.23,10,0.69,0.51
66,0.09189,10.88,11,0.77,0.6
67,0.08748,11.43,10,0.79,0.57
68,0.08843,11.31,11,0.65,0.47
69,0.08924,11.21,14,0.73,0.55
70,0.09133,10.95,12,0.77,0.57
71,0.09093,11.0,11,0.76,0.58
72,0.09136,10.95,10,0.73,0.57
73,0.08946,11.18,10,0.72,0.53
74,0.08794,11.37,11,0.74,0.55
75,0.08815,11.34,13,0.75,0.53
76,0.09067,11.03,13,0.68,0.52
77,0.09363,10.68,12,0.79,0.54
78,0.08874,11.27,11,0.74,0.56
79,0.0872,11.47,10,0.7,0.55
80,0.08833,11.32,8,0.77,0.61
81,0.09023,11.08,6,0.46,0.38
82,0.09362,10.68,7,0.69,0.53
83,0.08881,11.26,9,0.74,0.5
84,0.08831,11.32,11,0.74,0.56
85,0.08964,11.16,11,0.76,0.54
86,0.09072,11.02,11,0.7,0.53
87,0.09376,10.67,10,0.7,0.53
88,0.09087,11.0,8,0.7,0.56
89,0.08816,11.34,8,0.64,0.52
90,0.09787,10.22,7,0.72,0.55
91,0.09281,10.78,9,0.74,0.54
92,0.08777,11.39,8,0.65,0.5
93,0.08825,11.33,8,0.8,0.57
94,0.0886,11.29,7,0.76,0.54
95,0.08819,11.34,6,0.61,0.49
96,0.09066,11.03,7,0.66,0.55
97,0.08856,11.29,10,0.81,0.63
98,0.09216,10.85,8,0.74,0.61
99,0.09063,11.03,11,0.83,0.6
100,0.08771,11.4,11,0.84,0.58
101,0.08849,11.3,8,0.67,0.54
102,0.08806,11.36,6,0.56,0.46
103,0.08807,11.35,10,0.79,0.59
104,0.09139,10.94,10,0.82,0.64
105,0.08923,11.21,11,0.85,0.66
106,0.08965,11.15,12,0.82,0.63
107,0.09392,10.65,11,0.82,0.61
108,0.09081,11.01,10,0.59,0.49
109,0.08843,11.31,8,0.54,0.4
110,0.08901,11.24,9,0.74,0.49
111,0.09273,10.78,11,0.82,0.59
112,0.08829,11.33,10,0.76,0.6
113,0.08808,11.35,10,0.82,0.59
114,0.08847,11.3,10,0.83,0.66
115,0.08859,11.29,9,0.77,0.63
116,0.09304,10.75,9,0.67,0.51
117,0.08916,11.22,11,0.76,0.51
118,0.08899,11.24,10,0.73,0.57
119,0.08947,11.18,9,0.69,0.57
120,0.08907,11.23,9,0.78,0.57
121,0.09168,10.91,11,0.76,0.58
122,0.09063,11.03,9,0.77,0.58
123,0.09283,10.77,5,0.45,0.36
124,0.09165,10.91,10,0.74,0.55
125,0.09236,10.83,8,0.66,0.54
126,0.08963,11.16,10,0.8,0.63
127,0.08952,11.17,11,0.79,0.58
128,0.08914,11.22,8,0.73,0.47
129,0.08864,11.28,9,0.68,0.47
130,0.09123,10.96,9,0.67,0.44
131,0.08903,11.23,10,0.63,0.46
132,0.09134,10.95,10,0.76,0.58
133,0.09154,10.92,11,0.8,0.59
134,0.09485,10.54,10,0.78,0.62
135,0.08919,11.21,10,0.76,0.57
136,0.09661,10.35,9,0.75,0.57
137,0.09043,11.06,5,0.57,0.44
138,0.08925,11.2,8,0.64,0.48
139,0.08849,11.3,8,0.66,0.54
140,0.08785,11.38,10,0.72,0.58
141,0.08978,11.14,10,0.77,0.6
142,0.0877,11.4,9,0.65,0.55
143,0.09037,11.07,9,0.77,0.59
144,0.09043,11.06,10,0.79,0.6
145,0.08774,11.4,9,0.67,0.46
146,0.09018,11.09,9,0.75,0.54
147,0.08924,11.21,9,0.74,0.59
148,0.09235,10.83,9,0.81,0.66
149,0.08835,11.32,11,0.79,0.6
150,0.08954,11.17,9,0.73,0.58
151,0.09079,11.01,8,0.67,0.56
152,0.09334,10.71,9,0.73,0.53
153,0.08852,11.3,8,0.68,0.52
154,0.08905,11.23,9,0.8,0.63
155,0.08835,11.32,9,0.81,0.64
156,0.09266,10.79,9,0.76,0.58
157,0.08865,11.28,8,0.77,0.62
158,0.08925,11.2,10,0.74,0.55
159,0.09112,10.97,10,0.67,0.45
160,0.08886,11.25,9,0.72,0.54
161,0.09422,10.61,10,0.68,0.5
162,0.08992,11.12,11,0.77,0.52
163,0.08837,11.32,10,0.78,0.56
164,0.09028,11.08,10,0.78,0.55
165,0.08787,11.38,9,0.75,0.52
166,0.09054,11.05,10,0.72,0.51
167,0.08847,11.3,7,0.55,0.45
168,0.09194,10.88,8,0.7,0.51
169,0.08973,11.14,9,0.75,0.52
170,0.08756,11.42,10,0.67,0.48
171,0.08924,11.21,10,0.71,0.55
172,0.09014,11.09,10,0.76,0.57
173,0.08855,11.29,8,0.71,0.54
174,0.08955,11.17,9,0.67,0.51
175,0.0892,11.21,7,0.7,0.61
176,0.09056,11.04,7,0.78,0.62
177,0.08799,11.37,7,0.7,0.57
178,0.08937,11.19,7,0.68,0.58
179,0.09003,11.11,8,0.64,0.49
180,0.0921,10.86,8,0.6,0.47
181,0.0898,11.14,8,0.66,0.51
182,0.08921,11.21,8,0.7,0.54
183,0.0885,11.3,8,0.73,0.6
184,0.08998,11.11,7,0.77,0.66
185,0.08824,11.33,7,0.67,0.53
186,0.08861,11.29,7,0.59,0.46
187,0.09527,10.5,7,0.56,0.48
188,0.08852,11.3,8,0.7,0.53
189,0.09,11.11,8,0.7,0.57
190,0.08814,11.35,8,0.7,0.55
191,0.08835,11.32,7,0.6,0.54
192,0.09296,10.76,7,0.73,0.61
193,0.08805,11.36,7,0.78,0.61
194,0.09388,10.65,8,0.75,0.58
195,0.09555,10.47,7,0.64,0.44
196,0.09286,10.77,8,0.61,0.45
197,0.0877,11.4,8,0.73,0.52
198,0.09351,10.69,7,0.69,0.54
199,0.08948,11.18,7,0.62,0.51
200,0.08829,11.33,8,0.72,0.56
201,0.09182,10.89,7,0.73,0.59
202,0.09087,11.0,8,0.71,0.53
203,0.0889,11.25,7,0.68,0.5
204,0.09097,10.99,7,0.59,0.45
205,0.0912,10.97,7,0.63,0.49
206,0.09253,10.81,7,0.58,0.49
207,0.08754,11.42,8,0.67,0.45
208,0.09003,11.11,9,0.7,0.51
209,0.0897,11.15,9,0.67,0.52
210,0.08928,11.2,9,0.74,0.52
211,0.08907,11.23,8,0.73,0.53
212,0.09198,10.87,6,0.41,0.37
