Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
1,0.90749,1.1,10,0.63,0.43
2,0.14716,6.8,6,0.68,0.52
3,0.14488,6.9,6,0.69,0.5
4,0.14426,6.93,5,0.67,0.54
5,0.14607,6.85,5,0.61,0.49
6,0.14391,6.95,5,0.6,0.48
7,0.16112,6.21,6,0.64,0.52
8,0.14824,6.75,7,0.64,0.51
9,0.14552,6.87,6,0.65,0.49
10,0.14406,6.94,8,0.63,0.49
11,0.14346,6.97,8,0.67,0.51
12,0.14453,6.92,8,0.62,0.47
13,0.14512,6.89,7,0.66,0.51
14,0.15414,6.49,9,0.69,0.49
15,0.14608,6.85,9,0.7,0.52
16,0.14858,6.73,11,0.63,0.48
17,0.14239,7.02,11,0.61,0.5
18,0.14247,7.02,9,0.64,0.53
19,0.14608,6.85,10,0.67,0.53
20,0.14406,6.94,11,0.68,0.48
21,0.1462,6.84,10,0.72,0.47
22,0.14498,6.9,10,0.75,0.47
23,0.14996,6.67,9,0.68,0.5
24,0.14431,6.93,7,0.64,0.53
25,0.14264,7.01,10,0.66,0.48
26,0.14584,6.86,10,0.63,0.49
27,0.14384,6.95,10,0.65,0.48
28,0.14363,6.96,11,0.66,0.47
29,0.15441,6.48,11,0.62,0.46
30,0.1469,6.81,9,0.65,0.49
31,0.14717,6.79,10,0.63,0.47
32,0.14358,6.96,9,0.63,0.49
33,0.14434,6.93,12,0.66,0.46
34,0.1431,6.99,12,0.61,0.47
35,0.14477,6.91,11,0.66,0.49
36,0.14818,6.75,10,0.69,0.49
37,0.14375,6.96,9,0.68,0.51
38,0.143,6.99,9,0.67,0.5
39,0.15146,6.6,12,0.58,0.45
40,0.14875,6.72,10,0.64,0.51
41,0.14494,6.9,11,0.65,0.51
42,0.14879,6.72,12,0.67,0.47
43,0.14527,6.88,12,0.69,0.48
44,0.14605,6.85,11,0.69,0.49
45,0.14948,6.69,11,0.65,0.46
46,0.14397,6.95,12,0.63,0.44
47,0.15032,6.65,13,0.61,0.48
48,0.14773,6.77,11,0.67,0.52
49,0.15022,6.66,14,0.66,0.49
50,0.14393,6.95,13,0.69,0.48
51,0.14907,6.71,13,0.67,0.46
52,0.14496,6.9,11,0.67,0.51
53,0.14569,6.86,11,0.67,0.5
54,0.14537,6.88,10,0.66,0.53
55,0.1457,6.86,10,0.66,0.55
56,0.14485,6.9,11,0.7,0.53
57,0.14534,6.88,11,0.7,0.53
58,0.15201,6.58,12,0.7,0.52
59,0.147,6.8,11,0.65,0.54
60,0.14611,6.84,11,0.65,0.54
61,0.14582,6.86,10,0.66,0.56
62,0.15428,6.48,13,0.66,0.49
63,0.14668,6.82,12,0.66,0.52
64,0.14561,6.87,13,0.67,0.49
65,0.1444,6.93,13,0.65,0.49
66,0.14507,6.89,12,0.69,0.54
67,0.14688,6.81,10,0.72,0.56
68,0.14679,6.81,13,0.66,0.48
69,0.14588,6.85,10,0.65,0.53
70,0.14523,6.89,12,0.67,0.48
71,0.14877,6.72,10,0.65,0.52
72,0.14623,6.84,10,0.68,0.54
73,0.14714,6.8,11,0.65,0.52
74,0.1469,6.81,12,0.67,0.51
75,0.15153,6.6,12,0.66,0.51
76,0.14716,6.8,11,0.66,0.54
77,0.14842,6.74,12,0.7,0.52
78,0.14369,6.96,12,0.66,0.52
79,0.14598,6.85,9,0.67,0.57
80,0.14505,6.89,11,0.66,0.52
81,0.14658,6.82,11,0.63,0.51
82,0.14864,6.73,14,0.68,0.46
83,0.15106,6.62,12,0.62,0.48
84,0.14344,6.97,11,0.68,0.49
85,0.14459,6.92,10,0.68,0.52
86,0.14384,6.95,10,0.66,0.51
87,0.14457,6.92,11,0.66,0.49
88,0.1472,6.79,10,0.67,0.5
89,0.14623,6.84,8,0.67,0.57
90,0.14996,6.67,10,0.7,0.53
91,0.15058,6.64,10,0.73,0.52
92,0.14552,6.87,11,0.67,0.51
93,0.1469,6.81,10,0.67,0.51
94,0.14617,6.84,10,0.67,0.5
95,0.1549,6.46,10,0.64,0.5
96,0.14705,6.8,10,0.67,0.49
97,0.15352,6.51,11,0.65,0.51
98,0.1462,6.84,10,0.67,0.54
99,0.14756,6.78,11,0.71,0.53
100,0.14566,6.87,12,0.66,0.48
101,0.15093,6.63,10,0.66,0.51
102,0.14986,6.67,14,0.64,0.43
103,0.15582,6.42,13,0.61,0.48
104,0.15079,6.63,11,0.7,0.52
105,0.14516,6.89,12,0.7,0.52
106,0.14581,6.86,13,0.69,0.52
107,0.14836,6.74,11,0.7,0.53
108,0.14847,6.74,12,0.65,0.5
109,0.146,6.85,12,0.59,0.48
110,0.14542,6.88,13,0.62,0.46
111,0.14647,6.83,11,0.71,0.5
112,0.15241,6.56,12,0.72,0.51
113,0.15175,6.59,12,0.73,0.52
114,0.14433,6.93,13,0.69,0.51
115,0.14784,6.76,12,0.73,0.5
116,0.15065,6.64,11,0.71,0.53
117,0.14605,6.85,12,0.67,0.5
118,0.14799,6.76,12,0.66,0.5
119,0.145,6.9,11,0.64,0.52
120,0.15506,6.45,11,0.72,0.53
121,0.14644,6.83,11,0.73,0.53
122,0.14575,6.86,11,0.71,0.52
123,0.15607,6.41,11,0.7,0.52
124,0.14583,6.86,12,0.66,0.51
125,0.15064,6.64,11,0.66,0.53
126,0.14816,6.75,12,0.72,0.53
127,0.15211,6.57,12,0.73,0.54
128,0.1517,6.59,13,0.71,0.51
129,0.14656,6.82,12,0.71,0.53
130,0.14507,6.89,12,0.67,0.51
131,0.1439,6.95,13,0.68,0.5
132,0.14531,6.88,13,0.69,0.51
133,0.14513,6.89,13,0.66,0.48
134,0.14529,6.88,12,0.7,0.52
135,0.14876,6.72,12,0.65,0.52
136,0.15111,6.62,12,0.69,0.52
137,0.14673,6.82,11,0.68,0.51
138,0.14696,6.8,9,0.69,0.52
139,0.14685,6.81,12,0.7,0.5
140,0.14667,6.82,13,0.71,0.51
141,0.14658,6.82,14,0.72,0.51
142,0.14956,6.69,13,0.72,0.5
143,0.14696,6.8,14,0.69,0.49
144,0.14592,6.85,15,0.73,0.48
145,0.15023,6.66,12,0.66,0.5
146,0.14664,6.82,11,0.69,0.52
147,0.14748,6.78,13,0.73,0.48
148,0.15491,6.46,11,0.72,0.52
149,0.1482,6.75,14,0.72,0.47
150,0.14616,6.84,12,0.7,0.48
151,0.14722,6.79,13,0.64,0.47
152,0.14753,6.78,12,0.69,0.5
153,0.14976,6.68,12,0.69,0.5
154,0.14843,6.74,13,0.73,0.5
155,0.14515,6.89,13,0.76,0.49
156,0.14569,6.86,11,0.7,0.52
157,0.15452,6.47,11,0.71,0.52
158,0.14628,6.84,10,0.67,0.53
159,0.14858,6.73,12,0.68,0.49
