Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
1,0.40973,2.44,11,0.99,0.83
2,0.14183,7.05,11,0.99,0.86
3,0.13595,7.36,13,0.99,0.84
4,0.13771,7.26,17,0.99,0.79
5,0.13651,7.33,22,0.98,0.71
6,0.1362,7.34,14,0.98,0.83
7,0.13154,7.6,13,0.99,0.81
8,0.13383,7.47,12,0.99,0.78
9,0.13609,7.35,11,0.99,0.88
10,0.13671,7.31,15,0.99,0.76
11,0.13933,7.18,13,0.99,0.86
12,0.13851,7.22,17,0.98,0.74
13,0.13582,7.36,17,0.99,0.78
14,0.13733,7.28,18,0.99,0.77
15,0.13654,7.32,13,0.99,0.87
16,0.13498,7.41,13,0.99,0.85
17,0.14024,7.13,16,0.99,0.76
18,0.1373,7.28,15,0.99,0.85
19,0.13995,7.15,18,0.99,0.77
20,0.13658,7.32,16,0.99,0.85
21,0.13392,7.47,13,1.0,0.83
22,0.13549,7.38,15,1.0,0.77
23,0.1369,7.3,15,0.99,0.78
24,0.13617,7.34,15,0.99,0.83
25,0.13893,7.2,16,0.99,0.78
26,0.1414,7.07,19,0.99,0.73
27,0.13707,7.3,14,0.99,0.86
28,0.13242,7.55,19,0.98,0.77
29,0.13423,7.45,21,0.98,0.73
30,0.13468,7.43,22,0.99,0.69
31,0.13527,7.39,17,0.99,0.86
32,0.13539,7.39,16,0.99,0.85
33,0.13439,7.44,20,0.99,0.8
34,0.13625,7.34,18,0.99,0.83
35,0.13912,7.19,21,0.99,0.79
36,0.14164,7.06,22,0.99,0.81
37,0.13893,7.2,22,0.99,0.78
38,0.13429,7.45,22,0.99,0.78
39,0.13531,7.39,23,0.99,0.75
40,0.13661,7.32,14,0.99,0.92
41,0.13573,7.37,21,1.0,0.77
42,0.13811,7.24,18,1.0,0.86
43,0.13536,7.39,18,1.0,0.81
44,0.13444,7.44,25,0.99,0.75
45,0.13578,7.37,22,0.99,0.8
46,0.13494,7.41,29,0.99,0.77
47,0.13426,7.45,27,0.99,0.77
48,0.14046,7.12,26,0.99,0.79
49,0.1356,7.37,27,1.0,0.76
50,0.13608,7.35,28,1.0,0.77
51,0.13603,7.35,22,0.99,0.84
52,0.13687,7.31,18,0.99,0.82
53,0.13907,7.19,22,0.99,0.78
54,0.14065,7.11,20,0.99,0.76
55,0.138,7.25,22,0.99,0.74
56,0.13674,7.31,19,0.99,0.77
57,0.13635,7.33,22,1.0,0.78
58,0.13654,7.32,20,1.0,0.85
59,0.13835,7.23,19,0.99,0.85
60,0.13477,7.42,19,0.99,0.85
61,0.13529,7.39,19,0.99,0.85
62,0.13868,7.21,19,0.99,0.87
63,0.13589,7.36,19,0.99,0.77
64,0.13922,7.18,20,1.0,0.81
65,0.14222,7.03,21,0.99,0.84
66,0.13952,7.17,14,0.99,0.93
67,0.14064,7.11,19,1.0,0.8
68,0.13709,7.29,18,0.99,0.86
69,0.13549,7.38,19,0.99,0.92
70,0.13777,7.26,21,0.99,0.88
71,0.13679,7.31,25,1.0,0.78
72,0.13596,7.35,27,0.99,0.77
73,0.13483,7.42,24,0.99,0.79
74,0.14165,7.06,29,0.99,0.77
75,0.1358,7.36,27,1.0,0.79
76,0.14237,7.02,29,0.98,0.76
77,0.13632,7.34,28,0.99,0.8
78,0.13831,7.23,36,1.0,0.74
79,0.13731,7.28,27,0.99,0.74
80,0.13517,7.4,30,0.99,0.75
81,0.13944,7.17,33,0.98,0.73
82,0.14208,7.04,33,0.99,0.75
83,0.14122,7.08,28,1.0,0.75
84,0.13743,7.28,20,0.99,0.82
85,0.13712,7.29,28,1.0,0.81
86,0.14157,7.06,19,0.99,0.79
87,0.13999,7.14,20,0.98,0.76
88,0.13512,7.4,24,0.99,0.76
89,0.13573,7.37,21,0.99,0.81
90,0.13923,7.18,21,0.99,0.79
91,0.13725,7.29,23,1.0,0.77
92,0.1366,7.32,21,1.0,0.82
93,0.13834,7.23,21,0.99,0.81
94,0.13662,7.32,21,0.97,0.76
95,0.13553,7.38,22,0.96,0.79
96,0.14136,7.07,21,0.99,0.76
97,0.14394,6.95,21,1.0,0.81
98,0.14144,7.07,20,1.0,0.88
99,0.13637,7.33,18,1.0,0.91
100,0.142,7.04,22,0.99,0.86
101,0.13576,7.37,22,0.99,0.88
102,0.13515,7.4,21,0.99,0.85
103,0.13766,7.26,23,0.99,0.87
104,0.13789,7.25,21,1.0,0.87
105,0.13669,7.32,21,0.99,0.85
106,0.13772,7.26,23,0.99,0.84
107,0.14024,7.13,22,0.99,0.81
108,0.14317,6.98,24,0.99,0.79
109,0.14088,7.1,23,0.98,0.84
110,0.14078,7.1,21,0.99,0.86
111,0.13676,7.31,24,1.0,0.8
112,0.14145,7.07,25,0.99,0.78
113,0.13781,7.26,27,0.99,0.79
114,0.13897,7.2,24,1.0,0.8
115,0.13801,7.25,21,0.99,0.83
116,0.13673,7.31,23,0.99,0.83
117,0.13619,7.34,27,0.99,0.8
118,0.13454,7.43,21,0.99,0.85
119,0.13909,7.19,25,0.99,0.81
120,0.13997,7.14,27,0.99,0.75
121,0.13826,7.23,26,0.99,0.76
122,0.1362,7.34,24,0.99,0.8
123,0.13992,7.15,25,0.98,0.7
124,0.13808,7.24,20,0.99,0.85
125,0.13562,7.37,23,1.0,0.78
126,0.1443,6.93,20,0.99,0.81
127,0.13532,7.39,23,1.0,0.81
128,0.13635,7.33,23,0.99,0.8
129,0.14257,7.01,22,0.99,0.81
130,0.13871,7.21,24,0.99,0.74
131,0.14052,7.12,23,0.99,0.8
132,0.13658,7.32,21,1.0,0.82
133,0.13851,7.22,20,1.0,0.84
134,0.1394,7.17,23,0.99,0.77
135,0.13664,7.32,20,0.99,0.83
136,0.13753,7.27,20,0.99,0.78
137,0.13701,7.3,23,0.99,0.76
138,0.14117,7.08,22,0.99,0.83
139,0.14183,7.05,27,0.99,0.73
140,0.14076,7.1,22,1.0,0.79
141,0.14245,7.02,22,0.99,0.79
142,0.14296,6.99,23,0.99,0.79
143,0.14204,7.04,25,0.99,0.77
144,0.13643,7.33,27,1.0,0.78
145,0.13751,7.27,29,0.99,0.73
146,0.13847,7.22,26,1.0,0.78
147,0.138,7.25,22,1.0,0.76
148,0.14241,7.02,21,0.99,0.79
149,0.13831,7.23,27,0.99,0.75
150,0.13659,7.32,21,0.99,0.84
151,0.13616,7.34,18,0.99,0.83
152,0.13709,7.29,19,0.98,0.76
153,0.13696,7.3,20,0.99,0.81
