Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
1,2.41614,0.41,21,0.97,0.58
2,0.00985,101.57,30,0.97,0.64
3,0.01033,96.8,28,0.91,0.63
4,0.00841,118.97,28,0.98,0.71
5,0.00929,107.67,32,0.97,0.64
6,0.00917,109.09,31,0.99,0.68
7,0.00985,101.54,25,0.96,0.66
8,0.00944,105.88,21,0.98,0.63
9,0.00913,109.47,22,0.95,0.63
10,0.0112,89.26,17,0.93,0.67
11,0.0105,95.22,16,0.84,0.56
12,0.0094,106.37,16,0.87,0.59
13,0.00956,104.56,22,0.9,0.65
14,0.00888,112.63,17,0.89,0.5
15,0.01031,96.95,27,0.96,0.69
16,0.01023,97.72,24,0.95,0.68
17,0.01299,76.98,22,0.97,0.77
18,0.00862,116.04,21,0.78,0.52
19,0.00925,108.1,24,0.95,0.63
20,0.00891,112.24,23,0.96,0.7
21,0.00877,114.05,30,0.93,0.7
22,0.01101,90.79,29,0.92,0.67
23,0.00927,107.84,25,0.97,0.7
24,0.00853,117.3,30,0.95,0.68
25,0.00907,110.29,25,0.96,0.76
26,0.01027,97.36,32,0.96,0.69
27,0.01215,82.28,32,0.97,0.74
28,0.00908,110.07,38,0.97,0.75
29,0.01073,93.19,39,0.98,0.69
30,0.00867,115.39,35,0.94,0.73
31,0.01023,97.77,27,0.95,0.71
32,0.00915,109.29,36,0.96,0.71
33,0.01061,94.25,37,0.99,0.7
34,0.01084,92.25,35,0.97,0.69
35,0.00923,108.37,38,0.98,0.73
36,0.01033,96.83,44,0.98,0.7
37,0.01001,99.91,33,0.92,0.66
38,0.00891,112.18,32,0.97,0.72
39,0.01128,88.64,35,0.97,0.72
40,0.00952,105.03,35,0.97,0.71
41,0.0096,104.13,31,0.97,0.74
42,0.0091,109.93,32,0.98,0.72
43,0.01084,92.27,38,0.98,0.7
44,0.00889,112.44,33,0.99,0.72
45,0.01241,80.57,31,0.99,0.76
46,0.0094,106.39,29,0.94,0.63
47,0.01061,94.22,34,0.96,0.75
48,0.00925,108.15,29,0.99,0.74
49,0.01066,93.81,32,0.99,0.72
50,0.00969,103.22,34,0.99,0.74
51,0.00948,105.51,32,0.97,0.74
52,0.01059,94.39,31,0.96,0.72
53,0.00878,113.96,30,0.91,0.67
54,0.00876,114.11,31,0.96,0.68
55,0.00956,104.62,35,0.97,0.68
56,0.01014,98.63,31,0.99,0.65
57,0.01133,88.26,27,0.99,0.69
58,0.01011,98.93,27,0.98,0.69
59,0.00949,105.42,32,0.99,0.67
60,0.00814,122.82,30,0.99,0.67
61,0.00964,103.68,30,0.95,0.66
62,0.00958,104.37,23,0.91,0.64
63,0.0097,103.14,26,0.97,0.71
64,0.0087,114.94,23,0.95,0.7
65,0.00918,108.89,30,0.99,0.69
66,0.00893,111.95,26,0.98,0.73
67,0.00911,109.73,28,0.96,0.7
68,0.00887,112.7,28,0.98,0.72
69,0.00907,110.28,34,0.98,0.74
70,0.00875,114.31,28,0.97,0.75
71,0.01043,95.86,28,0.97,0.71
72,0.00873,114.56,22,0.97,0.71
73,0.01214,82.4,26,0.98,0.7
74,0.01112,89.94,29,0.97,0.69
75,0.0096,104.17,31,0.99,0.69
76,0.00881,113.45,32,0.98,0.68
77,0.01172,85.3,32,0.98,0.77
78,0.00848,117.96,33,0.97,0.71
79,0.0096,104.14,26,0.96,0.73
80,0.00891,112.22,24,0.9,0.67
81,0.00968,103.35,22,0.86,0.64
82,0.00839,119.25,31,0.99,0.69
83,0.01266,79.01,22,0.97,0.69
84,0.01094,91.43,25,0.96,0.69
85,0.01218,82.08,24,0.96,0.71
86,0.00873,114.54,24,0.97,0.69
87,0.01017,98.36,24,0.98,0.67
88,0.00917,109.02,25,0.95,0.61
89,0.01042,96.01,29,0.98,0.66
90,0.00978,102.22,27,0.97,0.68
91,0.01038,96.32,27,0.98,0.66
92,0.00847,118.1,28,0.98,0.71
93,0.0087,114.91,29,0.97,0.69
94,0.01013,98.69,30,0.97,0.66
95,0.01018,98.23,25,0.89,0.65
96,0.00934,107.03,26,0.97,0.71
97,0.01011,98.87,27,0.98,0.68
98,0.00969,103.19,26,0.99,0.72
99,0.01025,97.53,25,0.96,0.69
100,0.00894,111.87,25,0.95,0.68
101,0.01139,87.77,22,0.88,0.65
102,0.00899,111.19,28,0.94,0.66
103,0.00883,113.26,32,0.99,0.71
104,0.00952,105.08,27,0.99,0.74
105,0.00999,100.06,30,0.99,0.7
106,0.00839,119.13,24,0.98,0.74
107,0.00964,103.69,27,0.96,0.72
108,0.00972,102.86,26,0.94,0.69
109,0.0112,89.3,28,0.98,0.68
110,0.00831,120.38,28,0.99,0.69
111,0.01047,95.5,27,0.96,0.68
112,0.00944,105.91,30,0.98,0.69
113,0.00911,109.8,25,0.98,0.73
114,0.00971,103.0,31,0.99,0.76
115,0.01153,86.72,30,0.97,0.65
116,0.00823,121.52,31,0.96,0.64
117,0.00915,109.31,33,0.99,0.68
118,0.01005,99.52,29,0.98,0.69
